location,datetime,avg_pm25
New Delhi-8118,2025-04-09T14:30:00.000Z,96.0
New Delhi-8118,2025-04-09T15:30:00.000Z,107.0
New Delhi-8118,2025-04-09T13:30:00.000Z,83.0
