location,datetime,avg_pm25
New Delhi-8118,2025-04-19T17:30:00.000Z,30.0
New Delhi-8118,2025-04-19T16:30:00.000Z,40.0
New Delhi-8118,2025-04-19T18:30:00.000Z,32.0
