location,datetime,avg_pm25
New Delhi-8118,2025-04-07T14:30:00.000Z,63.0
New Delhi-8118,2025-04-07T11:30:00.000Z,48.0
New Delhi-8118,2025-04-07T12:30:00.000Z,46.0
